,impath,label,Hmax,Wmax,Attnlabel
31,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_32.png," ""Ipswich""",1410,2155,[ 1  3  5 34 69 72 76 62 56 61  5  2]
32,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_33.png," ""(A12)""",1410,2155,[ 1  3  5  8 26 14 15  9  5  2]
33,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_34.png," ""Harwich""",1410,2155,[ 1  3  5 33 54 71 76 62 56 61  5  2]
34,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_35.png," ""(A120)""",1410,2155,[ 1  3  5  8 26 14 15 13  9  5  2]
35,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_36.png," ""Clacton""",1410,2155,[ 1  3  5 28 65 54 56 73 68 67  5  2]
36,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_37.png," ""A133""",1410,2155,[ 1  3  5 26 14 16 16  5  2]
37,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_38.png," ""GASTRONOMY""",1410,2155,[ 1  3  5 32 26 44 45 43 40 39 40 38 50  5  2]
38,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_39.png," ""GREEK""",1410,2155,[ 1  3  5 32 43 30 30 36  5  2]
39,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_40.png," ""COOKERY""",1410,2155,[ 1  3  5 28 40 40 36 30 43 50  5  2]
40,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_41.png," ""&""",1410,2155,[1 3 5 6 5 2]
41,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_42.png," ""WINES""",1410,2155,[ 1  3  5 48 34 39 30 44  5  2]
42,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_43.png," ""LOCAL""",1410,2155,[ 1  3  5 37 40 28 26 37  5  2]
43,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_44.png," ""SPECIALTIES""",1410,2155,[ 1  3  5 44 41 30 28 34 26 37 45 34 30 44  5  2]
44,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_45.png," ""FESTIVE""",1410,2155,[ 1  3  5 31 30 44 45 34 47 30  5  2]
45,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_46.png," ""RECIPES""",1410,2155,[ 1  3  5 43 30 28 34 41 30 44  5  2]
46,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_47.png," ""ILLUSTRATED""",1410,2155,[ 1  3  5 34 37 37 46 44 45 43 26 45 30 29  5  2]
47,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_48.png," ""TOUBI'S""",1410,2155,[ 1  3  5 45 40 46 27 34  7 44  5  2]
48,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_49.png," ""e""",1410,2155,[ 1  3  5 58  5  2]
49,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_50.png," ""g""",1410,2155,[ 1  3  5 60  5  2]
50,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_51.png," ""intelligent""",1410,2155,[ 1  3  5 62 67 73 58 65 65 62 60 58 67 73  5  2]
51,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_52.png," ""inhabited""",1410,2155,[ 1  3  5 62 67 61 54 55 62 73 58 57  5  2]
52,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_53.png," ""environments""",1410,2155,[ 1  3  5 58 67 75 62 71 68 67 66 58 67 73 72  5  2]
53,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_54.png," ""group""",1410,2155,[ 1  3  5 60 71 68 74 69  5  2]
54,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_55.png," ""University""",1410,2155,[ 1  3  5 46 67 62 75 58 71 72 62 73 78  5  2]
55,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_56.png," ""of""",1410,2155,[ 1  3  5 68 59  5  2]
56,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_57.png," ""Essex""",1410,2155,[ 1  3  5 30 72 72 58 77  5  2]
57,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_58.png," ""Bernd""",1410,2155,[ 1  3  5 27 58 71 67 57  5  2]
58,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_59.png," ""Reuse""",1410,2155,[ 1  3  5 43 58 74 72 58  5  2]
59,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_60.png," ""Roland""",1410,2155,[ 1  3  5 43 68 65 54 67 57  5  2]
60,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_61.png," ""Vollmar""",1410,2155,[ 1  3  5 47 68 65 65 66 54 71  5  2]
61,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_62.png," ""(Hrsg.)""",1410,2155,[ 1  3  5  8 33 71 72 60 11  9  5  2]
62,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_63.png," ""Informatikforschung""",1410,2155,[ 1  3  5 34 67 59 68 71 66 54 73 62 64 59 68 71 72 56 61 74 67 60  5  2]
63,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_64.png," ""in""",1410,2155,[ 1  3  5 62 67  5  2]
64,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_65.png," ""Deutschland""",1410,2155,[ 1  3  5 29 58 74 73 72 56 61 65 54 67 57  5  2]
65,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_66.png," ""Springer""",1410,2155,[ 1  3  5 44 69 71 62 67 60 58 71  5  2]
66,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_67.png," ""M""",1410,2155,[ 1  3  5 38  5  2]
67,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_68.png," ""Summer's""",1410,2155,[ 1  3  5 44 74 66 66 58 71  7 72  5  2]
68,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_69.png," ""Here!""",1410,2155,[ 1  3  5 33 58 71 58  4  5  2]
69,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_70.png," ""TM""",1410,2155,[ 1  3  5 45 38  5  2]
70,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_71.png," ""CHECK""",1410,2155,[ 1  3  5 28 33 30 28 36  5  2]
71,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_72.png," ""SIGNAL""",1410,2155,[ 1  3  5 44 34 32 39 26 37  5  2]
72,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_73.png," ""CABLE""",1410,2155,[ 1  3  5 28 26 27 37 30  5  2]
73,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_74.png," ""P""",1410,2155,[ 1  3  5 41  5  2]
74,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_75.png," ""P""",1410,2155,[ 1  3  5 41  5  2]
75,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_76.png," ""WARNING""",1410,2155,[ 1  3  5 48 26 43 39 34 39 32  5  2]
76,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_77.png," ""Trespassing""",1410,2155,[ 1  3  5 45 71 58 72 69 54 72 72 62 67 60  5  2]
77,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_78.png," ""or""",1410,2155,[ 1  3  5 68 71  5  2]
78,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_79.png," ""causing""",1410,2155,[ 1  3  5 56 54 74 72 62 67 60  5  2]
79,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_80.png," ""nuisance""",1410,2155,[ 1  3  5 67 74 62 72 54 67 56 58  5  2]
80,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_81.png," ""on""",1410,2155,[ 1  3  5 68 67  5  2]
81,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_82.png," ""a""",1410,2155,[ 1  3  5 54  5  2]
82,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_83.png," ""school""",1410,2155,[ 1  3  5 72 56 61 68 68 65  5  2]
83,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_84.png," ""site""",1410,2155,[ 1  3  5 72 62 73 58  5  2]
84,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_85.png," ""can""",1410,2155,[ 1  3  5 56 54 67  5  2]
85,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_86.png," ""lead""",1410,2155,[ 1  3  5 65 58 54 57  5  2]
86,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_87.png," ""to""",1410,2155,[ 1  3  5 73 68  5  2]
87,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_88.png," ""a""",1410,2155,[ 1  3  5 54  5  2]
88,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_89.png," ""criminal""",1410,2155,[ 1  3  5 56 71 62 66 62 67 54 65  5  2]
89,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_90.png," ""conviction""",1410,2155,[ 1  3  5 56 68 67 75 62 56 73 62 68 67  5  2]
90,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_91.png," ""Under""",1410,2155,[ 1  3  5 46 67 57 58 71  5  2]
91,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_92.png," ""Section""",1410,2155,[ 1  3  5 44 58 56 73 62 68 67  5  2]
92,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_93.png," ""547""",1410,2155,[ 1  3  5 18 17 20  5  2]
93,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_94.png," ""of""",1410,2155,[ 1  3  5 68 59  5  2]
94,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_95.png," ""the""",1410,2155,[ 1  3  5 73 61 58  5  2]
95,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_96.png," ""Education""",1410,2155,[ 1  3  5 30 57 74 56 54 73 62 68 67  5  2]
96,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_97.png," ""Act""",1410,2155,[ 1  3  5 26 56 73  5  2]
97,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_98.png," ""1996""",1410,2155,[ 1  3  5 14 22 22 19  5  2]
98,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_99.png," ""Essex""",1410,2155,[ 1  3  5 30 72 72 58 77  5  2]
99,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_100.png," ""County""",1410,2155,[ 1  3  5 28 68 74 67 73 78  5  2]
100,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_101.png," ""Council""",1410,2155,[ 1  3  5 28 68 74 67 56 62 65  5  2]
101,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_102.png," ""Learning""",1410,2155,[ 1  3  5 37 58 54 71 67 62 67 60  5  2]
102,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_103.png," ""Services""",1410,2155,[ 1  3  5 44 58 71 75 62 56 58 72  5  2]
103,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_104.png," ""Roland""",1410,2155,[ 1  3  5 43 68 65 54 67 57  5  2]
104,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_105.png," ""DIGITAL""",1410,2155,[ 1  3  5 29 34 32 34 45 26 37  5  2]
105,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_106.png," ""GROUP""",1410,2155,[ 1  3  5 32 43 40 46 41  5  2]
106,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_107.png," ""Lord""",1410,2155,[ 1  3  5 37 68 71 57  5  2]
107,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_108.png," ""Nelson""",1410,2155,[ 1  3  5 39 58 65 72 68 67  5  2]
108,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_109.png," ""Servicemenu""",1410,2155,[ 1  3  5 44 58 71 75 62 56 58 66 58 67 74  5  2]
109,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_110.png," ""Wahlwiederh.""",1410,2155,[ 1  3  5 48 54 61 65 76 62 58 57 58 71 61 11  5  2]
110,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_111.png," ""Briefkasten""",1410,2155,[ 1  3  5 27 71 62 58 59 64 54 72 73 58 67  5  2]
111,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_112.png," ""Lautsprecher""",1410,2155,[ 1  3  5 37 54 74 73 72 69 71 58 56 61 58 71  5  2]
112,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_113.png," ""Ubernahme""",1410,2155,[ 1  3  5 46 55 58 71 67 54 61 66 58  5  2]
113,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_114.png," ""abc""",1410,2155,[ 1  3  5 54 55 56  5  2]
114,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_115.png," ""2""",1410,2155,[ 1  3  5 15  5  2]
115,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_116.png," ""1""",1410,2155,[ 1  3  5 14  5  2]
116,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_117.png," ""3""",1410,2155,[ 1  3  5 16  5  2]
117,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_118.png," ""def""",1410,2155,[ 1  3  5 57 58 59  5  2]
118,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_119.png," ""Anrufliste""",1410,2155,[ 1  3  5 26 67 71 74 59 65 62 72 73 58  5  2]
119,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_120.png," ""NA""",1410,2155,[ 1  3  5 39 26  5  2]
120,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_121.png," ""NA""",1410,2155,[ 1  3  5 39 26  5  2]
121,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_122.png," ""NA""",1410,2155,[ 1  3  5 39 26  5  2]
122,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_123.png," ""IMPORTED""",1410,2155,[ 1  3  5 34 38 41 40 43 45 30 29  5  2]
123,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_124.png," ""BEER""",1410,2155,[ 1  3  5 27 30 30 43  5  2]
124,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_125.png," ""FROM""",1410,2155,[ 1  3  5 31 43 40 38  5  2]
125,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_126.png," ""MEXICO""",1410,2155,[ 1  3  5 38 30 49 34 28 40  5  2]
126,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_127.png," ""WOLFGANG""",1410,2155,[ 1  3  5 48 40 37 31 32 26 39 32  5  2]
127,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_128.png," ""EMMERICH""",1410,2155,[ 1  3  5 30 38 38 30 43 34 28 33  5  2]
128,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_129.png," ""Engin""",1410,2155,[ 1  3  5 30 67 60 62 67  5  2]
129,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_130.png," ""ing""",1410,2155,[ 1  3  5 62 67 60  5  2]
130,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_131.png," ""Distributed""",1410,2155,[ 1  3  5 29 62 72 73 71 62 55 74 73 58 57  5  2]
131,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_132.png," ""Objects""",1410,2155,[ 1  3  5 40 55 63 58 56 73 72  5  2]
132,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_133.png," ""Gates""",1410,2155,[ 1  3  5 32 54 73 58 72  5  2]
133,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_134.png," ""30""",1410,2155,[ 1  3  5 16 13  5  2]
134,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_135.png," ""&""",1410,2155,[1 3 5 6 5 2]
135,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_136.png," ""88""",1410,2155,[ 1  3  5 21 21  5  2]
136,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_137.png," ""Emergency""",1410,2155,[ 1  3  5 30 66 58 71 60 58 67 56 78  5  2]
137,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_138.png," ""exit""",1410,2155,[ 1  3  5 58 77 62 73  5  2]
